Atomic Number,Element,Multiplicity,Term Symbol,ΔfH°gas,StdErr,Reference,CBS-QB3,CBS-QB3 correction,CBS-APNO,CBS-APNO correction,CBS-4M,CBS-4M correction,G1,G1 correction,G2,G2 correction,G2MP2,G2MP2 correction,G3,G3 correction,G3MP2,G3MP2 correction,G3B3,G3B3 correction,G3MP2B3,G3MP2B3 correction,G4,G4 correction,G4MP2,G4MP2 correction
52,Te,3,3P2,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,I,2,2P3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Xe,1,1S0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Cs,2,2S1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Ba,1,1S0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,La,2,2D3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Ce,1,1G4,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Pr,4,4I9/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Nd,5,5I4,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Pm,6,6H5/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Sm,7,7F0,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Eu,8,8S7/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Gd,9,9D2,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Tb,6,6H15/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Dy,5,5I8,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Ho,4,4I15/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Er,3,3H6,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Tm,2,2F7/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Yb,1,1S0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Lu,2,2D3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Hf,3,3F2,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Ta,4,4F3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,W,5,5D0,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Re,6,6S5/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Os,5,5D4,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Ir,4,4F9/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Pt,3,3D3,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Au,2,2S1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Hg,1,1S0,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Tl,2,2P1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Pb,3,3P0,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Bi,4,4S3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Po,3,3P2,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,At,2,2P3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Rn,1,1S0,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Fr,2,2S1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Ra,1,1S0,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Ac,2,2D3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Th,3,3F2,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Pa,4,4K11/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,U,5,5L6,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Np,6,6L11/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Pu,7,7F0,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Am,8,8S7/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Cm,9,9D2,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Bk,6,6H15/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Cf,5,5I8,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Es,4,4I15/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Fm,3,3H6,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Md,2,2F7/2,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,No,1,1S0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
